"","","","names","color"
"1","0.83528676947383","-1.19247916159258","13519","#e5f5f9"
"2","1.44397133825132","0.46095625124026","13442","#e5f5f9"
"3","-0.988535103468411","-0.476652895429585","08326","#e5f5f9"
"4","-0.752333079194721","-0.323933215014227","04152","#e5f5f9"
"5","-1.42250777627227","-1.01943264488239","20680","#e5f5f9"
"6","-0.17312238952184","1.28513371726359","12177","#e5f5f9"
"7","-0.405200367610688","-0.159380062706998","03059","#e5f5f9"
"8","0.519944024970185","1.12266148671584","10584","#e5f5f9"
"9","-1.10686698869305","0.408037719691463","13284","#e5f5f9"
"10","-0.105808558229085","-1.4283144411226","19439","#e5f5f9"
"11","0.185677783866271","-1.46260018796923","18756","#e5f5f9"
"12","1.03755631944037","-0.574369935125114","19331","#e5f5f9"
"13","1.0451510197532","-1.32001363025183","11786","#e5f5f9"
"14","0.0408693179520811","-0.0958101120100134","00670","#e5f5f9"
"15","-0.69892481549355","1.11157715015465","05803","#e5f5f9"
"16","-0.0788679004794566","-0.412310509517321","03214","#e5f5f9"
"17","-1.09959939039884","-0.211257108853858","01854","#e5f5f9"
"18","1.56056233503426","-0.427669104196679","15643","#e5f5f9"
"19","1.4520296217876","0.485828427534623","14209","#e5f5f9"
"20","-0.238674589154859","1.22701728249054","05192","#e5f5f9"
"21","-0.303982486782836","0.560283812059351","13269","#e5f5f9"
"22","0.823812460813351","-1.20661509961601","13747","#e5f5f9"
"23","-0.0501219908246755","-0.366561360862065","02443","#e5f5f9"
"24","-0.766395847234474","-1.09777290322559","20817","#e5f5f9"
"25","0.194521484507233","0.299626289847624","13642","#e5f5f9"
"26","-1.23145781333765","-1.47540770448101","21430","#e5f5f9"
"27","-0.0616346347623967","-0.0557322426114459","15555","#e5f5f9"
"28","0.136109166022738","0.664978489562752","14508","#e5f5f9"
"29","-1.17746649282572","-0.29339112822269","18221","#e5f5f9"
"30","-0.492644085162425","-0.3243287869434","12991","#e5f5f9"
"31","1.26126492777946","-2.23098734664571","14452","#e5f5f9"
"32","-1.14697408236495","-0.325891397068369","17733","#e5f5f9"
"33","-1.59572045970576","-0.894681194786579","20112","#e5f5f9"
"34","-0.856086178919714","-0.0027881538160457","02568","#e5f5f9"
"35","0.144691095411809","0.300278907422186","13640","#e5f5f9"
"36","-0.170161322474332","-1.03948195955349","01637","#e5f5f9"
"37","-0.327729095635912","-2.18851685911652","13491","#e5f5f9"
"38","0.947377919320261","-0.00324368994245974","19460","#e5f5f9"
"39","-1.69609063133781","-0.807048176566932","20558","#e5f5f9"
"40","1.7900561918619","0.300380276297826","17664","#e5f5f9"
"41","-1.63895704355132","-0.846657520692606","20310","#e5f5f9"
"42","-0.652076396131661","-1.34633981886343","20757","#e5f5f9"
"43","0.284097936445406","0.670112905668652","13736","#e5f5f9"
"44","0.928266152154046","0.00827547976328724","18177","#e5f5f9"
"45","0.322287937433846","1.19813150376087","13355","#e5f5f9"
"46","-0.273539308459095","-0.446878426157436","15422","#e5f5f9"
"47","1.50366956612772","-0.324609343844189","03955","#e5f5f9"
"48","0.614548534254648","0.452724972946807","14416","#e5f5f9"
"49","-1.65039118442859","-0.849052015324307","21252","#e5f5f9"
"50","0.187070157681663","-1.41551147849652","18612","#e5f5f9"
"51","1.25143608266153","-1.93330728694475","13932","#e5f5f9"
"52","-0.202440529990219","-0.974774342159493","15050","#e5f5f9"
"53","1.52859718489445","-0.367852272188379","17013","#e5f5f9"
"54","0.923288011570152","0.16806737475395","13197","#e5f5f9"
"55","0.205460804852874","-0.786423672821843","10687","#e5f5f9"
"56","0.965342579894764","-0.718872869227814","19286","#e5f5f9"
"57","-1.45233235851254","-0.326972147501468","03135","#e5f5f9"
"58","-1.45276820091019","-0.901334519685319","21037","#e5f5f9"
"59","-0.93851723761042","1.32172271829193","14020","#e5f5f9"
"60","-1.27178050782068","0.343553897863046","05256","#e5f5f9"
"61","-1.03228576530182","-0.753482778629382","03190","#e5f5f9"
"62","-0.911166914660142","-0.441007468783508","10491","#e5f5f9"
"63","0.729416363345077","-0.174332691413927","11911","#e5f5f9"
"64","-0.140964285570211","-0.321494154061003","15697","#e5f5f9"
"65","0.0157961286899841","-1.46459720544872","21044","#e5f5f9"
"66","0.137738862746895","0.668598944908966","13923","#e5f5f9"
"67","0.137738862746895","0.668598944908966","14118","#e5f5f9"
"68","-1.64324511610423","-0.263923559182417","20695","#e5f5f9"
"69","1.67939160818622","1.60978583631678","07367","#e5f5f9"
"70","1.73656436622521","0.256754391030212","16098","#e5f5f9"
"71","-1.03353675283988","1.22410248751791","07071","#e5f5f9"
"72","0.144993692530306","1.56984537831482","13028","#e5f5f9"
