"","V1","V2","names","color"
"1","1.2578871979398","1.31360870794678","02580","Less similar"
"2","-2.19110612944722","0.195655491263221","13064","Less similar"
"3","-1.97525873622326","-0.192386289411749","18003","Less similar"
"4","-0.624064993305261","0.769563124345504","14528","Less similar"
"5","-1.80851780399424","-0.171947050613363","19294","Less similar"
"6","-0.606087246899059","0.875315075895494","13920","Less similar"
"7","-0.606087246899059","0.875315075895494","13999","Less similar"
"8","-0.606087246899059","0.875315075895494","14233","Less similar"
"9","-0.606087246899059","0.875315075895494","14338","Less similar"
"10","-0.606087246899056","0.875315075895495","13817","Less similar"
"11","-0.606087246899056","0.875315075895495","14129","Less similar"
"12","-0.701738167716946","1.01605903901625","13619","Less similar"
"13","-0.453656822820359","1.98199199533036","20926","Less similar"
"14","-0.699632961813223","-0.456764128972094","06491","Less similar"
"15","-1.57984212649509","-0.292226997153413","15587","Less similar"
"16","2.39944158616283","0.279983721271147","13653","Less similar"
"17","1.78263552821819","1.41909532510491","11128","Less similar"
"18","1.32400518482182","-1.92801186399827","03341","Less similar"
"19","-0.841491757361775","-0.394942873553553","02821","Less similar"
"20","-0.873351892464068","1.0219188953545","20735","Less similar"
"21","-0.0930913475530592","1.76827090852402","19801","Less similar"
"22","0.939493621896687","0.0516458483421727","05796","Less similar"
"23","-2.14436319938577","-0.594907068678881","13201","Less similar"
"24","-0.556286643358768","0.581223744257466","14489","Less similar"
"25","0.539609453449269","0.64085191502721","01674","Less similar"
"26","-0.305627587796242","0.341712550175976","13898","Less similar"
"27","-0.23451406552029","-0.528504886782029","08848","Less similar"
"28","-0.458748086827729","-0.847170140874581","14564","Less similar"
"29","-0.293903746018324","0.273172649022147","13973","Less similar"
"30","-0.293903746018324","0.273172649022147","14019","Less similar"
"31","-0.293903746018324","0.273172649022147","14058","Less similar"
"32","-0.293903746018324","0.273172649022147","14124","Less similar"
"33","-0.293903746018324","0.273172649022147","14247","Less similar"
"34","-0.293903746018324","0.273172649022147","14294","Less similar"
"35","-0.293903746018324","0.273172649022147","14345","Less similar"
"36","-0.293903746018324","0.273172649022147","14349","Less similar"
"37","-0.541001745244304","-2.40494872990308","13665","Less similar"
"38","0.363529094583079","1.95557952103127","18563","Less similar"
"39","-1.99019514689107","-1.40882432151411","15326","Less similar"
"40","-0.914098663238893","-1.99864844216143","18823","Less similar"
"41","2.62114835650504","0.39847554354434","09305","Less similar"
"42","0.910728555988847","0.0959757275657786","06114","Less similar"
"43","2.5249933095263","0.583178878303385","14025","Less similar"
"44","2.20195595077119","1.2522213190619","00779","Less similar"
"45","0.84317086744585","-0.293051831087856","07543","Less similar"
"46","-0.16571914201849","1.47856801274727","20628","Less similar"
"47","0.361074241474817","0.620098438373893","15877","Less similar"
"48","-0.79626964513309","-1.50797978357218","04938","Less similar"
"49","-0.678696051665913","0.63380529877179","14330","Less similar"
"50","-0.423297321994704","-1.10085103374428","18838","Less similar"
"51","-0.230637384014238","1.51904034887008","20793","Less similar"
"52","1.48770844134742","-0.469756295806629","05471","Less similar"
"53","0.019126676846787","1.4125501181384","21359","Less similar"
"54","-0.75707199392966","0.992063579964794","20605","Less similar"
"55","-0.545348144080871","1.94305652376215","18897","Less similar"
"56","1.54005761974911","-1.19310557409628","01299","Less similar"
"57","0.705672791788257","0.273347456532508","16097","Less similar"
"58","-0.176895595303747","-1.34997040024562","10449","Less similar"
"59","0.603242921741316","-0.315044758614399","13065","Less similar"
"60","-0.574484106651177","-0.288642834752895","07129","Less similar"
"61","-0.377198963400108","1.85439432574008","21181","Less similar"
"62","-1.02037298289533","0.288716362750925","10705","Less similar"
"63","2.28370094455854","-0.195763652221434","03312","Less similar"
"64","2.64736783488602","0.422148427023315","06486","Less similar"
"65","-1.07841198615841","0.269398453627159","06146","Less similar"
"66","0.243052745376975","0.0201964671487939","04394","Less similar"
"67","-0.389360702224724","1.87929396625229","20374","Less similar"
"68","2.38044810767998","0.308778526575964","20106","Less similar"
"69","-0.582046534972096","-0.73243153990494","02050","Less similar"
"70","1.84605552421407","1.21133014524836","00624","Less similar"
"71","-1.49191667837354","-1.68162583825621","12561","Less similar"
"72","-0.927731309084821","-1.69270136848764","17001","Less similar"
"73","-0.759306188949556","0.985695859079561","20118","Less similar"
"74","-0.0247259460510212","0.69707052642818","00297","Less similar"
"75","1.74476981719492","0.778218406743991","01192","Less similar"
"76","0.101428748762654","0.62904069750013","01405","Less similar"
"77","-0.0340937904612854","1.7564365026483","18822","Less similar"
"78","0.442521854034576","0.623234706848719","15866","Less similar"
"79","-0.508951330450801","-2.17659128778553","13216","Less similar"
